"Scenario_1","Scenario_2","Scenario_3","Scenario_4","Scenario_5","Scenario_6","Scenario_7","Scenario_8","Scenario_9","Scenario_10","Date"
116.741663314145,113.30689596598,120.626196958278,118.419873466543,113.082578681065,119.183479013411,128.118371299341,129.6374736945,118.319943385009,118.76590429843,2024-10-01 00:00:00
111.618292062791,96.4918792349525,126.923929896852,118.924328041218,107.662340578224,124.2493080166,123.900798854109,129.905210095375,120.325920656186,112.975895464408,2024-10-01 01:00:00
122.750075580308,101.114581156415,123.15226751456,111.69330256082,112.476030376539,126.377853303592,133.517638196845,128.973274526156,107.3125524541,113.206434192978,2024-10-01 02:00:00
121.270445268869,86.5978743909845,123.888534172687,106.365967574975,115.969668493171,120.154711559593,129.185862144012,130.492042883541,90.0854288208159,113.034849144769,2024-10-01 03:00:00
119.969422577122,83.2419853065288,125.054448594492,106.373635934073,112.16377505865,122.702226291207,119.788883958249,123.518199347785,88.1680354449022,116.454011168715,2024-10-01 04:00:00
134.155672591985,88.9867644436455,118.909398294533,106.052292370942,113.210604119715,131.684645831504,123.879312353565,127.234892072457,91.8853857560756,126.275019012418,2024-10-01 05:00:00
142.890223297031,99.6538886651379,112.234301291012,112.962453284208,118.135528095682,136.841349388796,134.035527988712,134.256539793034,107.790943186514,127.208270828284,2024-10-01 06:00:00
148.850674535697,118.020562865447,113.452694883854,124.008964513486,133.549533999976,133.790167359541,139.115427215055,133.329522108069,123.678980996092,141.35098348654,2024-10-01 07:00:00
149.184067390718,118.177605785214,122.545007363462,131.606946513252,148.575649845949,148.492115679603,132.930642755352,149.813965887719,132.150534621144,151.538120567196,2024-10-01 08:00:00
125.107782813433,101.374139416869,98.9603362117764,108.593894062495,122.964091503529,123.479400178965,110.550731126889,120.925787598157,111.853559406854,126.744304438683,2024-10-01 09:00:00
116.243606009853,96.1498239276657,93.6538805617192,88.6998112836503,103.016721413328,101.865790515809,95.5122689255873,80.1316853418017,98.6846639609557,112.372235742774,2024-10-01 10:00:00
110.996749479943,94.2235507056062,89.9096823934138,60.646945276268,94.9258961434977,105.993716382632,65.0379639711231,69.5205443595723,97.1418819546406,116.823589169319,2024-10-01 11:00:00
108.584016447644,71.8410703185817,90.6692846134447,44.3061873817798,77.7052775997914,85.6864427791167,36.6232485907373,63.9192056764085,80.5546485093828,102.346813008602,2024-10-01 12:00:00
108.114759036578,81.2972864748246,100.185030152029,20.3857099798073,66.6864348496214,73.0389929019714,37.822188061762,61.657023074183,71.7286702394733,105.252361924817,2024-10-01 13:00:00
101.322024652299,79.4264636198247,93.811231759021,-30.4063436907101,65.4107006906002,63.0869965462807,45.0946259820564,59.8180876697361,77.3385010578171,103.229899097626,2024-10-01 14:00:00
112.444182199508,80.5265919220405,95.378795686867,-40.9634899433856,67.0182568059097,45.2627081254103,37.2902031840013,43.7028541223162,53.8854469894607,92.5122097814528,2024-10-01 15:00:00
118.569281201462,88.911642568839,104.460415990825,-40.039673377396,79.8658922897511,59.8705706677487,54.0131645767667,52.6686477359945,21.2928114650521,96.7488038157131,2024-10-01 16:00:00
112.139072634691,96.6837087024167,122.390350224665,-18.7497102430295,85.8623848544463,82.7001731474989,60.2804366815626,77.7978208106606,39.3186652470784,104.944929301432,2024-10-01 17:00:00
132.895395200291,114.164971680863,143.558247384691,49.8529500241023,114.879516753996,105.740508952427,80.0336021639175,90.9729684586438,66.1805306484559,114.826911051899,2024-10-01 18:00:00
153.164974086952,144.795283268486,167.733750292622,88.4571384831799,134.307861743035,128.118699714969,118.743668095898,119.692851126713,94.1576299763794,138.859262294494,2024-10-01 19:00:00
169.503053941766,172.900492599415,185.084319021287,125.026063557432,148.211094091563,150.313256860966,144.335225047302,144.195054516599,128.751830692479,166.582228564318,2024-10-01 20:00:00
170.971941499395,181.032642229418,191.237195787935,125.058136576953,138.930464151931,149.711490228905,147.276326195828,146.391072037092,139.93992658402,168.171982644813,2024-10-01 21:00:00
142.150348223959,173.770767233037,173.784401355952,94.8974392668931,120.573414313271,121.695279850863,116.684644188255,128.759968503681,121.898669419095,156.629890230375,2024-10-01 22:00:00
