"Scenario_1","Scenario_2","Scenario_3","Scenario_4","Scenario_5","Scenario_6","Scenario_7","Scenario_8","Scenario_9","Scenario_10","Scenario_11","Scenario_12","Scenario_13","Scenario_14","Scenario_15","Scenario_16","Scenario_17","Scenario_18","Scenario_19","Scenario_20","Date"
116.741663314145,113.30689596598,120.626196958278,118.419873466543,113.082578681065,119.183479013411,128.118371299341,129.6374736945,118.319943385009,118.76590429843,127.036376136956,119.046303295975,133.757696320058,104.972460860102,111.59756721014,116.211165370083,125.458803281932,118.616712903319,124.647953553243,126.126234410456,2024-10-01 00:00:00
111.618292062791,96.4918792349525,126.923929896852,118.924328041218,107.662340578224,124.2493080166,123.900798854109,129.905210095375,120.325920656186,112.975895464408,126.734000992307,111.303365348635,135.501827477648,97.5573336721617,109.112235749085,108.988996712135,134.561389230718,124.784813075568,121.73768972133,132.638732062995,2024-10-01 01:00:00
122.750075580308,101.114581156415,123.15226751456,111.69330256082,112.476030376539,126.377853303592,133.517638196845,128.973274526156,107.3125524541,113.206434192978,127.931626046862,109.784201347686,144.824463719596,91.0557671380925,110.686460453773,115.843147528931,139.054120068664,130.028022917378,123.183750178215,135.366345233366,2024-10-01 02:00:00
121.270445268869,86.5978743909845,123.888534172687,106.365967574975,115.969668493171,120.154711559593,129.185862144012,130.492042883541,90.0854288208159,113.034849144769,122.753968147344,106.055606047865,148.354461668848,87.6571997467021,104.987580937536,120.490488822191,142.696387148949,130.170652776051,118.783755718993,134.623389430906,2024-10-01 03:00:00
119.969422577122,83.2419853065288,125.054448594492,106.373635934073,112.16377505865,122.702226291207,119.788883958249,123.518199347785,88.1680354449022,116.454011168715,112.393531645448,107.224740311275,148.636338246594,81.3833003268258,99.1403871847784,124.089577220947,124.816159405663,137.943979496969,113.240904860146,138.96462504282,2024-10-01 04:00:00
134.155672591985,88.9867644436455,118.909398294533,106.052292370942,113.210604119715,131.684645831504,123.879312353565,127.234892072457,91.8853857560756,126.275019012418,112.58705452132,107.797703782378,153.40652888178,79.8723788833235,106.264364820105,132.774558716769,116.256034958647,150.976840991749,109.379175227034,134.607730158395,2024-10-01 05:00:00
142.890223297031,99.6538886651379,112.234301291012,112.962453284208,118.135528095682,136.841349388796,134.035527988712,134.256539793034,107.790943186514,127.208270828284,112.492353029872,121.345607873969,165.978896499461,89.6024025852659,97.4776926972454,152.20750655445,124.375560198468,158.360054513228,115.451666759518,133.491596124686,2024-10-01 06:00:00
148.850674535697,118.020562865447,113.452694883854,124.008964513486,133.549533999976,133.790167359541,139.115427215055,133.329522108069,123.678980996092,141.35098348654,128.637341503109,129.978116570137,185.378756521881,111.74089867924,122.313324226111,181.883847989335,124.246299687886,171.812726397955,124.913257697779,147.456787418994,2024-10-01 07:00:00
149.184067390718,118.177605785214,122.545007363462,131.606946513252,148.575649845949,148.492115679603,132.930642755352,149.813965887719,132.150534621144,151.538120567196,134.431976242458,134.116508452139,191.115982431759,114.820126603254,129.676278033308,184.246687747483,126.636307757734,175.038719062227,132.905800650477,162.312647448264,2024-10-01 08:00:00
125.107782813433,101.374139416869,98.9603362117764,108.593894062495,122.964091503529,123.479400178965,110.550731126889,120.925787598157,111.853559406854,126.744304438683,109.261378482852,96.3719817269084,184.524109340036,93.2521418246337,112.032795711548,154.934914440917,98.9251719514684,156.33659059698,110.299068741801,146.214307070149,2024-10-01 09:00:00
116.243606009853,96.1498239276657,93.6538805617192,88.6998112836503,103.016721413328,101.865790515809,95.5122689255873,80.1316853418017,98.6846639609557,112.372235742774,94.8632377699632,78.4577835525219,165.102612025726,54.6702910755224,93.6666771408399,142.762490205149,81.9090148489204,138.745324631933,72.0394266931637,135.628871200688,2024-10-01 10:00:00
110.996749479943,94.2235507056062,89.9096823934138,60.646945276268,94.9258961434977,105.993716382632,65.0379639711231,69.5205443595723,97.1418819546406,116.823589169319,97.289877936979,70.5260349986167,149.402924722566,28.997349568773,83.3712292841696,130.746624686145,72.4094026395434,121.325169104854,21.9576310754866,143.141505472162,2024-10-01 11:00:00
108.584016447644,71.8410703185817,90.6692846134447,44.3061873817798,77.7052775997914,85.6864427791167,36.6232485907373,63.9192056764085,80.5546485093828,102.346813008602,92.7352450622801,70.5650927945867,160.284242209564,23.4513006882294,75.4897473031359,128.084161671366,74.2527226032574,113.743671979817,-37.0182030436736,130.523663631383,2024-10-01 12:00:00
108.114759036578,81.2972864748246,100.185030152029,20.3857099798073,66.6864348496214,73.0389929019714,37.822188061762,61.657023074183,71.7286702394733,105.252361924817,94.9387611432989,55.6388408265731,154.861050991965,10.513103653964,67.5747382060102,119.226319583508,66.8320170656468,107.241526739255,-54.322688643459,127.601755380621,2024-10-01 13:00:00
101.322024652299,79.4264636198247,93.811231759021,-30.4063436907101,65.4107006906002,63.0869965462807,45.0946259820564,59.8180876697361,77.3385010578171,103.229899097626,84.4183535097164,44.1371215516604,161.737440593172,17.6810981562999,74.1782131185898,119.699062120554,63.6241061324634,104.179022642175,-63.8695487770155,112.476102427689,2024-10-01 14:00:00
112.444182199508,80.5265919220405,95.378795686867,-40.9634899433856,67.0182568059097,45.2627081254103,37.2902031840013,43.7028541223162,53.8854469894607,92.5122097814528,80.3096785695172,24.5952922048567,165.950497297404,-22.3908219203395,72.7601347179968,109.771005714805,48.131395194957,96.9577189236221,-62.8334887791493,104.836721930062,2024-10-01 15:00:00
